"coverage_type","source_object","repo_mapping","module","condition","reason","impact","alternative","property","term","source_section","remarks"
"condition","wk_lsu_ld_da | 19） 5293，排除lda_ex3_inst_vld、!ld_da_expt_vld_cancel、!ld_da_secd单独为0的条件","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","19） 5293，排除lda_ex3_inst_vld、!ld_da_expt_vld_cancel、!ld_da_secd单独为0的条件","排除原因：上述三者成立是 lda_rb_ex3_create_vld=1的必要条件。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 20）wk_lsu_ld_da.sv – 3636, 合取范式排除子表达式ld_da_ld_inst=0和ld_da_boundary=0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","20）wk_lsu_ld_da.sv – 3636, 合取范式排除子表达式ld_da_ld_inst=0和ld_da_boundary=0的条件。","排除原因：ld_da_boundary=0是ld_da_secd=0的充分条件，ld_da_ld_inst=0是ld_da_boundary=0的充分条件（原子操作不支持跨界）。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 21）3776，排除子表达式!ld_da_fwd_sq_multi_req，!ld_da_discard_wmb_req单独为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","21）3776，排除子表达式!ld_da_fwd_sq_multi_req，!ld_da_discard_wmb_req单独为0的条件。","排除原因：上述条件成立是ld_da_rb_full_req=1必要条件，详见ld_da_discard_dc_req（3694）。ld_da_rb_full_req必要条件是create_vld, 其必要条件是create_vld_unmask，其必要条件是ld_da_discard_dc_req，其必要条件就是上述2个条件。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 22）3551，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","22）3551，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 23）4696，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","23）4696，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 24）2112，排除子表达式!rtu_lsu_flush_fe单独为0的条件","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","24）2112，排除子表达式!rtu_lsu_flush_fe单独为0的条件","排除原因：当rtu_lsu_flush_fe=1时，lda_ecc_stall=0。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 25）5399，排除合取范式子表达式lda_ex3_inst_vld单独为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","25）5399，排除合取范式子表达式lda_ex3_inst_vld单独为0的条件。","排除原因：lda_ex3_inst_vld=0是ld_da_data_discard_sq_req=0的充分条件。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 26）4695，排除同2，同理排除4714","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","26）4695，排除同2，同理排除4714","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 27）5218，排除!sq_fwd_ecc_discard单独为0的条件，该信号tie 0","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","27）5218，排除!sq_fwd_ecc_discard单独为0的条件，该信号tie 0","27）5218，排除!sq_fwd_ecc_discard单独为0的条件，该信号tie 0","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 28）5361，no-spec-prediction有idu-lsu完成，不再由ifu打no-spec标签，该信号未使用","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","28）5361，no-spec-prediction有idu-lsu完成，不再由ifu打no-spec标签，该信号未使用","28）5361，no-spec-prediction有idu-lsu完成，不再由ifu打no-spec标签，该信号未使用","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 29）4776，排除子表达式lda_ecc_stall_already单独为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","29）4776，排除子表达式lda_ecc_stall_already单独为0的条件。","排除原因：lda_ecc_stall_already是lda_ecc_stall_fatal必要条件，只有寄存发生ecc错误时，才会寄存是否发生严重错误。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 30）5176，排除同1","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","30）5176，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 31）5197，排除同27","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","31）5197，排除同27","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 32）3614，fwd_ecc_discard排除同27，ld_da_ld_inst和ld_da_boundary排除同20","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","32）3614，fwd_ecc_discard排除同27，ld_da_ld_inst和ld_da_boundary排除同20","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 33）3722，排除同1","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","33）3722，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 34）4969，排除同27","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","34）4969，排除同27","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 35）5394，排除子表达式lda_ex3_inst_vld单独为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","35）5394，排除子表达式lda_ex3_inst_vld单独为0的条件。","排除原因：同25","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 36）4855，排除子表达式lda_ex3_inst_vld | lda_mcic_ex3_borrow_mmu单独为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","36）4855，排除子表达式lda_ex3_inst_vld | lda_mcic_ex3_borrow_mmu单独为0的条件。","排除原因：只有ex3栈有效或者mmu借用流水线，才会寄存ecc停顿。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 37）3286，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","37）3286，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 38）4728，排除同2、36","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","38）4728，排除同2、36","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 39）5184，排除vreg不前递","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","39）5184，排除vreg不前递","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 40）4860，排除子表达式lda_ecc_stall_already和(lda_ex3_inst_vld || lda_mcic_ex3_borrow_mmu)单独为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","40）4860，排除子表达式lda_ecc_stall_already和(lda_ex3_inst_vld || lda_mcic_ex3_borrow_mmu)单独为0的条件。","排除原因：lda_ecc_stall_already单独为0排除原因同前；lda_ex3_inst_vld || lda_mcic_ex3_borrow_mmu单独为0 排除原因同36。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 41）4951，排除同2，同理排除5017、4841","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","41）4951，排除同2，同理排除5017、4841","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 42）3525，排除同前27、2、10","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","42）3525，排除同前27、2、10","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 53）4987，排除同27","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","53）4987，排除同27","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 54）4697，排除合取范式子表达式!lda_tag_ecc_stall_ori单独为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","54）4697，排除合取范式子表达式!lda_tag_ecc_stall_ori单独为0的条件。","排除原因：如果同时发生data和tag校验错误，第一拍产生tag校验停顿，第二拍产生data校验停顿。data的ecc错误条件前提是非tag的ecc错误","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 55）4590，排除子表达式!ld_da_ecc_stall_tag_fatal为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","55）4590，排除子表达式!ld_da_ecc_stall_tag_fatal为0的条件。","排除原因：如果发生tag严重错误，则命中路信息为0（详见ld_da_ecc_hit_way0/1/2/3），从而导致ld_da_data128_ecc_vld=0。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 56）5003，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","56）5003，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"toggle","wk_lsu_ld_da | 1）wk_lsu_ld_da.sv，信号tie固定值；801-ld_da_ahead_predict，复位值0，tie 1；1059-ecc_info_ramid，高2位tie 2’b01；1324/1327-ld_da_hit_high_ecc/ld_da_hit_low_ecc，未使用信号；1485-ldc_lda_ex2_ahead_vreg_wb_vld，tie 0；1698-ldc_lda_ex2_ahead_vreg_wb_vld_ff，tie 0","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","1）wk_lsu_ld_da.sv，信号tie固定值；801-ld_da_ahead_predict，复位值0，tie 1；1059-ecc_info_ramid，高2位tie 2’b01；1324/1327-ld_da_hit_high_ecc/ld_da_hit_low_ecc，未使用信号；1485-ldc_lda_ex2_ahead_vreg_wb_vld，tie 0；1698-ldc_lda_ex2_ahead_vreg_wb_vld_ff，tie 0","1）wk_lsu_ld_da.sv，信号tie固定值；801-ld_da_ahead_predict，复位值0，tie 1；1059-ecc_info_ramid，高2位tie 2’b01；1324/1327-ld_da_hit_high_ecc/ld_da_hit_low_ecc，未使用信号；1485-ldc_lda_ex2_ahead_vreg_wb_vld，tie 0；1698-ldc_lda_ex2_ahead_vreg_wb_vld_ff，tie 0","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.4","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"line","wk_lsu_ld_wb | 1）wk_lsu_ld_wb.sv – 1442-1484","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","1）wk_lsu_ld_wb.sv – 1442-1484","排除原因：同1.4.1","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.1","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"branch","wk_lsu_ld_wb | 同1.5.1.","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","同1.5.1.","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.2","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_wb | 1）806，排除子表达式! lda_lwb_ex3_data_req_dp、! wmb_lwb_data_req、! vmb_lwb_data_req单独为0的条件。","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","1）806，排除子表达式! lda_lwb_ex3_data_req_dp、! wmb_lwb_data_req、! vmb_lwb_data_req单独为0的条件。","排除原因：通过仲裁逻辑，rb_lwb_ex3_data_req优先级最低，其有效意味着前三者个数据通道无请求。同理排除803、751、799、","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_wb | 2）wk_lsu_ld_wb.sv – 1631，排除子表达式lwb_ex4_data_vld单独为0的条件。","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","2）wk_lsu_ld_wb.sv – 1631，排除子表达式lwb_ex4_data_vld单独为0的条件。","排除原因：ex4栈没有数据请求时，总线错误信号置0，详见1300。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_wb | 3）wk_lsu_ld_wb.sv – 1634，排除子表达式lwb_ex4_data_vld单独为0的条件。","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","3）wk_lsu_ld_wb.sv – 1634，排除子表达式lwb_ex4_data_vld单独为0的条件。","排除原因：同上。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_wb | 4）1088，信号tie 0，wmb通道只有sc指令存在写回，属标量","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","4）1088，信号tie 0，wmb通道只有sc指令存在写回，属标量","4）1088，信号tie 0，wmb通道只有sc指令存在写回，属标量","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_wb | 5）811，排除同1","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","5）811，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_wb | 6）1066，排除同4","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","6）1066，排除同4","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"toggle","wk_lsu_ld_wb | 1）wk_lsu_ld_wb.sv；719-ld_wb_rb_data_ptr，最高位，原因：对应项用于mcic，不存在写回寄存器。同理，排除698-rb_ld_wb_data_ptr, 731-ld_wb_pre_rb_data_ptr。；506-ld_wb_pre_expt_vec，最高位，原因：最高位对应中断，内部异常无法覆盖。同理排除462-lda_lwb_ex3_expt_vec，578-lsu_rtu_ex4_expt_vec, 395-ld_wb_expt_vec。；531-ld_wb_pre_vreg_sign_sel[12:1]，排除原因同1.4.1，同理排除417-ld_wb_vreg_sign_sel, 471-lda_lwb_ex3_vreg_sign_sel, 631-rb_lwb_ex3_vreg_sign_sel,；669-wmb_ld_wb_vreg_expand，排除原因：wmb不存在写回向量寄存器，同理排除wmb_lwb_inst_vfls, wmb_lwb_inst_vls, wmb_lwb_preg_sign_sel, wmb_lwb_vmb_merge_vld, wmb_lwb_vreg, wmb_lwb_vreg_sign_sel.；637-vmb_lwb_inst_vfls, vmb_lwb_inst_vls, vmb_lwb_vmb_merge_vld, vmb_lwb_vreg_sign_sel，tie固定值","srcs/xx_lsu_ld_wb.sv","wk_lsu_ld_wb","1）wk_lsu_ld_wb.sv；719-ld_wb_rb_data_ptr，最高位，原因：对应项用于mcic，不存在写回寄存器。同理，排除698-rb_ld_wb_data_ptr, 731-ld_wb_pre_rb_data_ptr。；506-ld_wb_pre_expt_vec，最高位，原因：最高位对应中断，内部异常无法覆盖。同理排除462-lda_lwb_ex3_expt_vec，578-lsu_rtu_ex4_expt_vec, 395-ld_wb_expt_vec。；531-ld_wb_pre_vreg_sign_sel[12:1]，排除原因同1.4.1，同理排除417-ld_wb_vreg_sign_sel, 471-lda_lwb_ex3_vreg_sign_sel, 631-rb_lwb_ex3_vreg_sign_sel,；669-wmb_ld_wb_vreg_expand，排除原因：wmb不存在写回向量寄存器，同理排除wmb_lwb_inst_vfls, wmb_lwb_inst_vls, wmb_lwb_preg_sign_sel, wmb_lwb_vmb_merge_vld, wmb_lwb_vreg, wmb_lwb_vreg_sign_sel.；637-vmb_lwb_inst_vfls, vmb_lwb_inst_vls, vmb_lwb_vmb_merge_vld, vmb_lwb_vreg_sign_sel，tie固定值","1）wk_lsu_ld_wb.sv；719-ld_wb_rb_data_ptr，最高位，原因：对应项用于mcic，不存在写回寄存器。同理，排除698-rb_ld_wb_data_ptr, 731-ld_wb_pre_rb_data_ptr。；506-ld_wb_pre_expt_vec，最高位，原因：最高位对应中断，内部异常无法覆盖。同理排除462-lda_lwb_ex3_expt_vec，578-lsu_rtu_ex4_expt_vec, 395-ld_wb_expt_vec。；531-ld_wb_pre_vreg_sign_sel[12:1]，排除原因同1.4.1，同理排除417-ld_wb_vreg_sign_sel, 471-lda_lwb_ex3_vreg_sign_sel, 631-rb_lwb_ex3_vreg_sign_sel,；669-wmb_ld_wb_vreg_expand，排除原因：wmb不存在写回向量寄存器，同理排除wmb_lwb_inst_vfls, wmb_lwb_inst_vls, wmb_lwb_preg_sign_sel, wmb_lwb_vmb_merge_vld, wmb_lwb_vreg, wmb_lwb_vreg_sign_sel.；637-vmb_lwb_inst_vfls, vmb_lwb_inst_vls, vmb_lwb_vmb_merge_vld, vmb_lwb_vreg_sign_sel，tie固定值","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.5.4","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"line","wk_lsu_lfb | case语句default分支-1138","srcs/xx_lsu_lfb.sv","wk_lsu_lfb","case语句default分支-1138","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.6.1","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"branch","wk_lsu_lfb | 同1.6.1","srcs/xx_lsu_lfb.sv","wk_lsu_lfb","同1.6.1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.6.2","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_lfb | 1）wk_lsu_lfb.sv – 1472，排除子表达式lfb_lf_sm_vld单独为0的条件。","srcs/xx_lsu_lfb.sv","wk_lsu_lfb","1）wk_lsu_lfb.sv – 1472，排除子表达式lfb_lf_sm_vld单独为0的条件。","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.6.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_lfb | 2）wk_lsu_lfb.sv – 842，排除子表达式lfb_pfu_create_grnt单独为0的条件。","srcs/xx_lsu_lfb.sv","wk_lsu_lfb","2）wk_lsu_lfb.sv – 842，排除子表达式lfb_pfu_create_grnt单独为0的条件。","排除原因：pfu_lfb_create_vld逻辑中，pfu_lfb_create_req是pfu_lfb_create_vld必要条件，bus_arb_pfu_ar_sel是bus_arb_pfu_ar_ready必要条件。因此lfb_pfu_create_grnt是pfu_lfb_create_vld必要条件。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.6.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
